slug,source_url,rights_url,copyright_holder,licence,date_obtained
1959slp,https://upload.wikimedia.org/wikipedia/commons/5/5b/Marshall_1959_Super_Lead_100_Reissue_%281%29.jpg,https://commons.wikimedia.org/wiki/File:Marshall_1959_Super_Lead_100_Reissue_%281%29.jpg,Roadside Guitars,CC BY-SA 2.0,2026-09-19
1x10-bf-princetone,https://upload.wikimedia.org/wikipedia/commons/d/dc/Fender_Princeton_Reverb_Amp.jpg,https://commons.wikimedia.org/wiki/File:Fender_Princeton_Reverb_Amp.jpg,Massimo Barbieri,CC BY-SA 3.0,2026-09-19
1x10-sf-princetone,https://upload.wikimedia.org/wikipedia/commons/d/dd/Fender_Princeton_1974.jpg,https://commons.wikimedia.org/wiki/File:Fender_Princeton_1974.jpg,Bubba73,CC BY-SA 3.0,2026-09-19
1x12-deluxe-tweed,https://upload.wikimedia.org/wikipedia/commons/5/51/Fender1953Deluxe.jpg,https://commons.wikimedia.org/wiki/File:Fender1953Deluxe.jpg,Johnny Bgood123,CC BY-SA 3.0 de,2026-09-19
1x12-deluxe-verb,https://upload.wikimedia.org/wikipedia/commons/b/b0/Fender_Deluxe_Reverb_Amp_%28by_cptbuzz%29.jpg,https://commons.wikimedia.org/wiki/File:Fender_Deluxe_Reverb_Amp_%28by_cptbuzz%29.jpg,pixaboy: cptbuzz,CC0,2026-09-19
1x12-hot-kitty,https://upload.wikimedia.org/wikipedia/commons/b/b2/Badcatjem.jpg,https://commons.wikimedia.org/wiki/File:Badcatjem.jpg,Whey,public domain,2026-09-19
1x12-jr-blues,https://upload.wikimedia.org/wikipedia/commons/5/56/Fender_blues_junior_blonde.jpg,https://commons.wikimedia.org/wiki/File:Fender_blues_junior_blonde.jpg,Tiled,CC BY-SA 3.0,2026-09-19
1x12-vibrato-lux,https://upload.wikimedia.org/wikipedia/commons/2/22/1966_Vibrolux_Reverb.jpg,https://commons.wikimedia.org/wiki/File:1966_Vibrolux_Reverb.jpg,Tonereport,CC BY-SA 4.0,2026-09-19
1x15-portabass,https://upload.wikimedia.org/wikipedia/commons/7/71/Ampeg_Portaflex_B-15N_%281967-1968%29.jpg,https://commons.wikimedia.org/wiki/File:Ampeg_Portaflex_B-15N_%281967-1968%29.jpg,Jackknife Barlow,CC BY 2.0,2026-09-19
1x15-vibroverb,https://upload.wikimedia.org/wikipedia/commons/7/71/1964_Fender_Vibroverb.JPG,https://commons.wikimedia.org/wiki/File:1964_Fender_Vibroverb.JPG,GabeMc,CC BY-SA 3.0,2026-09-19
